time,volume,open,high,low,close,instrument,granularity,RSI,MACD,Signal_Line,Histogram,BollingerBands_middle,BollingerBands_std,ATR,ADX,OBV
2023-06-28 20:17:00+00:00,11,1.26379,1.26388,1.26378,1.26387,GBP_USD,M1,,0.0,0.0,0.0,,,,,-11
2023-06-28 20:18:00+00:00,8,1.26388,1.2639,1.26388,1.2639,GBP_USD,M1,,2.3931623931439105e-06,4.786324786287821e-07,1.9145299145151285e-06,,,,,-3
2023-06-28 20:19:00+00:00,16,1.2639,1.26392,1.26386,1.26386,GBP_USD,M1,,1.0499914773198782e-06,5.929042783670013e-07,4.570871989528769e-07,,,,,-19
2023-06-28 20:20:00+00:00,27,1.26387,1.26388,1.26377,1.26377,GBP_USD,M1,,-7.193803302829593e-06,-9.644372378723176e-07,-6.229366064957276e-06,,,,,-46
2023-06-28 20:21:00+00:00,1,1.26378,1.26378,1.26378,1.26378,GBP_USD,M1,,-1.2772915414460684e-05,-3.326132873189991e-06,-9.446782541270692e-06,,,,,-45
2023-06-28 20:22:00+00:00,10,1.26378,1.26378,1.26374,1.26374,GBP_USD,M1,,-2.0189337548881525e-05,-6.698773808328299e-06,-1.3490563740553226e-05,,,,,-55
2023-06-28 20:23:00+00:00,4,1.26376,1.26378,1.26376,1.26378,GBP_USD,M1,,-2.2578963579267253e-05,-9.87481176251609e-06,-1.2704151816751162e-05,,,,,-51
2023-06-28 20:24:00+00:00,19,1.26376,1.26378,1.26374,1.26376,GBP_USD,M1,,-2.5789309174850672e-05,-1.3057711244983006e-05,-1.2731597929867666e-05,,,,,-70
2023-06-28 20:25:00+00:00,10,1.26374,1.26376,1.26368,1.26368,GBP_USD,M1,,-3.4392408326144874e-05,-1.7324650661215383e-05,-1.706775766492949e-05,,,,,-80
2023-06-28 20:26:00+00:00,9,1.26368,1.26368,1.26366,1.26368,GBP_USD,M1,,-4.074079189675395e-05,-2.2007878908323096e-05,-1.8732912988430852e-05,,,,,-89
2023-06-28 20:27:00+00:00,11,1.26368,1.26368,1.26366,1.26367,GBP_USD,M1,,-4.604803495733556e-05,-2.6815910118125588e-05,-1.9232124839209972e-05,,,,,-100
