time,OBV
2006-05-13 21:00:00+00:00,-653
2006-05-14 21:00:00+00:00,-25914
2006-05-15 21:00:00+00:00,-1558
2006-05-16 21:00:00+00:00,-28901
2006-05-17 21:00:00+00:00,-4085
2006-05-18 21:00:00+00:00,-30555
2006-05-20 21:00:00+00:00,-30921
2006-05-21 21:00:00+00:00,-7608
2006-05-22 21:00:00+00:00,-31026
2006-05-23 21:00:00+00:00,-60867
2006-05-24 21:00:00+00:00,-37169
2006-05-25 21:00:00+00:00,-60618
2006-05-27 21:00:00+00:00,-61001
2006-05-28 21:00:00+00:00,-51205
2006-05-29 21:00:00+00:00,-27419
2006-05-30 21:00:00+00:00,-51381
2006-05-31 21:00:00+00:00,-73368
2006-06-01 21:00:00+00:00,-55241
2006-06-03 21:00:00+00:00,-55159
2006-06-04 21:00:00+00:00,-70965
2006-06-05 21:00:00+00:00,-89551
2006-06-06 21:00:00+00:00,-107227
2006-06-07 21:00:00+00:00,-127884
2006-06-08 21:00:00+00:00,-146161
2006-06-10 21:00:00+00:00,-146214
2006-06-11 21:00:00+00:00,-131436
2006-06-12 21:00:00+00:00,-152806
2006-06-13 21:00:00+00:00,-134532
2006-06-14 21:00:00+00:00,-116211
2006-06-15 21:00:00+00:00,-97981
2006-06-17 21:00:00+00:00,-97779
2006-06-18 21:00:00+00:00,-115866
2006-06-19 21:00:00+00:00,-97663
2006-06-20 21:00:00+00:00,-81808
2006-06-21 21:00:00+00:00,-101330
2006-06-22 21:00:00+00:00,-120318
2006-06-24 21:00:00+00:00,-120001
2006-06-25 21:00:00+00:00,-101573
2006-06-26 21:00:00+00:00,-119643
2006-06-27 21:00:00+00:00,-136774
2006-06-28 21:00:00+00:00,-116463
2006-06-29 21:00:00+00:00,-94588
2006-07-01 21:00:00+00:00,-94900
2006-07-02 21:00:00+00:00,-111923
2006-07-03 21:00:00+00:00,-100127
2006-07-04 21:00:00+00:00,-118993
2006-07-05 21:00:00+00:00,-102148
2006-07-06 21:00:00+00:00,-85389
2006-07-08 21:00:00+00:00,-84988
2006-07-09 21:00:00+00:00,-101810
2006-07-10 21:00:00+00:00,-84682
2006-07-11 21:00:00+00:00,-102482
2006-07-12 21:00:00+00:00,-84258
2006-07-13 21:00:00+00:00,-102659
2006-07-15 21:00:00+00:00,-102323
2006-07-16 21:00:00+00:00,-118974
2006-07-17 21:00:00+00:00,-98490
2006-07-18 21:00:00+00:00,-78362
2006-07-19 21:00:00+00:00,-59492
2006-07-20 21:00:00+00:00,-42783
2006-07-22 21:00:00+00:00,-42237
2006-07-23 21:00:00+00:00,-58191
2006-07-24 21:00:00+00:00,-76573
2006-07-25 21:00:00+00:00,-58410
2006-07-26 21:00:00+00:00,-37754
2006-07-27 21:00:00+00:00,-18479
2006-07-28 21:00:00+00:00,-18478
2006-07-29 21:00:00+00:00,-18950
2006-07-30 21:00:00+00:00,-1931
2006-07-31 21:00:00+00:00,16521
2006-08-01 21:00:00+00:00,33617
2006-08-02 21:00:00+00:00,56736
2006-08-03 21:00:00+00:00,76948
2006-08-04 21:00:00+00:00,76947
2006-08-05 21:00:00+00:00,76594
2006-08-06 21:00:00+00:00,61439
2006-08-07 21:00:00+00:00,78041
2006-08-08 21:00:00+00:00,59149
