time,OBV
2006-05-15 21:00:00+00:00,-20432
2006-05-16 21:00:00+00:00,-42815
2006-05-17 21:00:00+00:00,-23221
2006-05-18 21:00:00+00:00,-44451
2006-05-20 21:00:00+00:00,-44757
2006-05-21 21:00:00+00:00,-25424
2006-05-22 21:00:00+00:00,-44047
2006-05-23 21:00:00+00:00,-68559
2006-05-24 21:00:00+00:00,-50372
2006-05-25 21:00:00+00:00,-69119
2006-05-26 21:00:00+00:00,-69120
2006-05-27 21:00:00+00:00,-69501
2006-05-28 21:00:00+00:00,-61274
2006-05-29 21:00:00+00:00,-41583
2006-05-30 21:00:00+00:00,-61207
2006-05-31 21:00:00+00:00,-80600
2006-06-01 21:00:00+00:00,-63129
2006-06-02 21:00:00+00:00,-63128
2006-06-03 21:00:00+00:00,-63006
2006-06-04 21:00:00+00:00,-78785
2006-06-05 21:00:00+00:00,-96280
2006-06-06 21:00:00+00:00,-112859
2006-06-07 21:00:00+00:00,-132619
2006-06-08 21:00:00+00:00,-149223
2006-06-10 21:00:00+00:00,-149464
2006-06-11 21:00:00+00:00,-163064
2006-06-12 21:00:00+00:00,-181964
2006-06-13 21:00:00+00:00,-164172
2006-06-14 21:00:00+00:00,-148137
2006-06-15 21:00:00+00:00,-133748
2006-06-17 21:00:00+00:00,-133563
2006-06-18 21:00:00+00:00,-147163
2006-06-19 21:00:00+00:00,-133845
2006-06-20 21:00:00+00:00,-121514
2006-06-21 21:00:00+00:00,-136136
2006-06-22 21:00:00+00:00,-150744
2006-06-24 21:00:00+00:00,-150502
2006-06-25 21:00:00+00:00,-136118
2006-06-26 21:00:00+00:00,-151092
2006-06-27 21:00:00+00:00,-164294
2006-06-28 21:00:00+00:00,-148257
2006-06-29 21:00:00+00:00,-130752
2006-07-01 21:00:00+00:00,-130985
2006-07-02 21:00:00+00:00,-117002
2006-07-03 21:00:00+00:00,-127214
2006-07-04 21:00:00+00:00,-143691
2006-07-05 21:00:00+00:00,-130123
2006-07-06 21:00:00+00:00,-116970
2006-07-07 21:00:00+00:00,-116971
2006-07-08 21:00:00+00:00,-116697
2006-07-09 21:00:00+00:00,-130027
2006-07-10 21:00:00+00:00,-116833
2006-07-11 21:00:00+00:00,-130492
2006-07-12 21:00:00+00:00,-144506
2006-07-13 21:00:00+00:00,-159190
2006-07-14 21:00:00+00:00,-159191
2006-07-15 21:00:00+00:00,-158920
2006-07-16 21:00:00+00:00,-172293
2006-07-17 21:00:00+00:00,-188267
2006-07-18 21:00:00+00:00,-172126
2006-07-19 21:00:00+00:00,-157408
2006-07-20 21:00:00+00:00,-144297
2006-07-21 21:00:00+00:00,-144298
2006-07-22 21:00:00+00:00,-143730
2006-07-23 21:00:00+00:00,-156647
2006-07-24 21:00:00+00:00,-170774
2006-07-25 21:00:00+00:00,-156235
2006-07-26 21:00:00+00:00,-172625
2006-07-27 21:00:00+00:00,-157789
2006-07-28 21:00:00+00:00,-157792
2006-07-29 21:00:00+00:00,-157445
2006-07-30 21:00:00+00:00,-143895
2006-07-31 21:00:00+00:00,-129475
2006-08-01 21:00:00+00:00,-143076
2006-08-02 21:00:00+00:00,-127107
2006-08-03 21:00:00+00:00,-113092
2006-08-05 21:00:00+00:00,-113381
2006-08-06 21:00:00+00:00,-124068
2006-08-07 21:00:00+00:00,-137840
2006-08-08 21:00:00+00:00,-122669
2006-08-09 21:00:00+00:00,-139430
2006-08-10 21:00:00+00:00,-153593
2006-08-11 21:00:00+00:00,-153594
2006-08-12 21:00:00+00:00,-153357
2006-08-13 21:00:00+00:00,-164969
2006-08-14 21:00:00+00:00,-151556
2006-08-15 21:00:00+00:00,-139965
2006-08-16 21:00:00+00:00,-152435
2006-08-17 21:00:00+00:00,-163844
2006-08-18 21:00:00+00:00,-163845
2006-08-19 21:00:00+00:00,-163750
2006-08-20 21:00:00+00:00,-151030
2006-08-21 21:00:00+00:00,-165313
2006-08-22 21:00:00+00:00,-177345
2006-08-23 21:00:00+00:00,-190953
2006-08-24 21:00:00+00:00,-203338
2006-08-26 21:00:00+00:00,-203198
2006-08-27 21:00:00+00:00,-194760
2006-08-28 21:00:00+00:00,-180464
2006-08-29 21:00:00+00:00,-167573
2006-08-30 21:00:00+00:00,-181764
2006-08-31 21:00:00+00:00,-168190
2006-09-01 21:00:00+00:00,-168189
2006-09-02 21:00:00+00:00,-167979
2006-09-03 21:00:00+00:00,-158453
2006-09-04 21:00:00+00:00,-170223
2006-09-05 21:00:00+00:00,-182582
2006-09-06 21:00:00+00:00,-198237
2006-09-07 21:00:00+00:00,-211321
2006-09-09 21:00:00+00:00,-211506
2006-09-10 21:00:00+00:00,-198866
2006-09-11 21:00:00+00:00,-212607
2006-09-12 21:00:00+00:00,-200604
2006-09-13 21:00:00+00:00,-187731
2006-09-14 21:00:00+00:00,-200513
2006-09-16 21:00:00+00:00,-200996
2006-09-17 21:00:00+00:00,-189192
2006-09-18 21:00:00+00:00,-202825
2006-09-19 21:00:00+00:00,-191280
2006-09-20 21:00:00+00:00,-176202
2006-09-21 21:00:00+00:00,-162909
2006-09-22 21:00:00+00:00,-162910
2006-09-23 21:00:00+00:00,-162571
2006-09-24 21:00:00+00:00,-173784
2006-09-25 21:00:00+00:00,-187055
2006-09-26 21:00:00+00:00,-174704
2006-09-27 21:00:00+00:00,-153075
2006-09-28 21:00:00+00:00,-175249
2006-09-29 21:00:00+00:00,-175247
2006-09-30 21:00:00+00:00,-175027
2006-10-01 21:00:00+00:00,-163391
2006-10-02 21:00:00+00:00,-174163
2006-10-03 21:00:00+00:00,-186366
2006-10-04 21:00:00+00:00,-198386
2006-10-05 21:00:00+00:00,-211054
2006-10-06 21:00:00+00:00,-211056
2006-10-07 21:00:00+00:00,-211344
2006-10-08 21:00:00+00:00,-223090
2006-10-09 21:00:00+00:00,-246992
2006-10-10 21:00:00+00:00,-272041
2006-10-11 21:00:00+00:00,-257181
2006-10-12 21:00:00+00:00,-268978
2006-10-13 21:00:00+00:00,-268981
2006-10-14 21:00:00+00:00,-269243
2006-10-15 21:00:00+00:00,-254319
2006-10-16 21:00:00+00:00,-237921
2006-10-17 21:00:00+00:00,-248792
2006-10-18 21:00:00+00:00,-235965
2006-10-19 21:00:00+00:00,-246164
2006-10-20 21:00:00+00:00,-246167
2006-10-21 21:00:00+00:00,-246752
2006-10-22 21:00:00+00:00,-257632
2006-10-23 21:00:00+00:00,-245221
2006-10-24 21:00:00+00:00,-229394
2006-10-25 21:00:00+00:00,-211080
2006-10-26 21:00:00+00:00,-195837
2006-10-28 21:00:00+00:00,-196348
2006-10-29 22:00:00+00:00,-209733
2006-10-30 22:00:00+00:00,-195503
2006-10-31 22:00:00+00:00,-210446
2006-11-01 22:00:00+00:00,-195323
2006-11-02 22:00:00+00:00,-207905
