time,OBV
2004-05-31 21:00:00+00:00,-52
2004-06-30 21:00:00+00:00,-104
2004-07-31 21:00:00+00:00,-158
2004-08-31 21:00:00+00:00,-210
2004-09-30 21:00:00+00:00,-262
2004-10-31 22:00:00+00:00,-208
2004-11-30 22:00:00+00:00,-262
2004-12-31 22:00:00+00:00,-1088314
2005-01-31 22:00:00+00:00,-2123921
2005-02-28 22:00:00+00:00,-961660
2005-03-31 22:00:00+00:00,-2092442
2005-04-30 21:00:00+00:00,-3198092
2005-05-31 21:00:00+00:00,-4505990
2005-06-30 21:00:00+00:00,-5808959
2005-07-31 21:00:00+00:00,-4472188
2005-08-31 21:00:00+00:00,-5817771
2005-09-30 21:00:00+00:00,-4614416
2005-10-31 22:00:00+00:00,-6001046
2005-11-30 22:00:00+00:00,-4741497
2005-12-31 22:00:00+00:00,-5554430
2006-01-31 22:00:00+00:00,-5207252
2006-02-28 22:00:00+00:00,-4768206
2006-03-31 22:00:00+00:00,-5139572
2006-04-30 21:00:00+00:00,-4445050
2006-05-31 21:00:00+00:00,-3831628
2006-06-30 21:00:00+00:00,-4408396
2006-07-31 21:00:00+00:00,-3769604
2006-08-31 21:00:00+00:00,-3193765
2006-09-30 21:00:00+00:00,-3738886
2006-10-31 22:00:00+00:00,-3147925
2006-11-30 22:00:00+00:00,-3765609
2006-12-31 22:00:00+00:00,-3050648
2007-01-31 22:00:00+00:00,-3672838
2007-02-28 22:00:00+00:00,-4383432
2007-03-31 21:00:00+00:00,-5077111
2007-04-30 21:00:00+00:00,-5910700
2007-05-31 21:00:00+00:00,-6592175
2007-06-30 21:00:00+00:00,-5913492
2007-07-31 21:00:00+00:00,-4924982
2007-08-31 21:00:00+00:00,-5689491
2007-09-30 21:00:00+00:00,-6749683
2007-10-31 21:00:00+00:00,-5377129
2007-11-30 22:00:00+00:00,-6316984
2007-12-31 22:00:00+00:00,-7681886
2008-01-31 22:00:00+00:00,-8906802
2008-02-29 22:00:00+00:00,-7641678
2008-03-31 21:00:00+00:00,-9089578
2008-04-30 21:00:00+00:00,-10300191
2008-05-31 21:00:00+00:00,-9072391
2008-06-30 21:00:00+00:00,-7627599
2008-07-31 21:00:00+00:00,-6101408
2008-08-31 21:00:00+00:00,-4012151
2008-09-30 21:00:00+00:00,-1144551
2008-10-31 21:00:00+00:00,-4120361
2008-11-30 22:00:00+00:00,-6764535
2008-12-31 22:00:00+00:00,-4091427
2009-01-31 22:00:00+00:00,-6335032
2009-02-28 22:00:00+00:00,-9011589
2009-03-31 21:00:00+00:00,-11481718
2009-04-30 21:00:00+00:00,-14412952
2009-05-31 21:00:00+00:00,-12257186
2009-06-30 21:00:00+00:00,-13606531
2009-07-31 21:00:00+00:00,-14741176
2009-08-31 21:00:00+00:00,-15894959
