time,OBV
2008-06-07 21:00:00+00:00,-222
2008-06-08 21:00:00+00:00,-8170
2008-06-09 21:00:00+00:00,-17408
2008-06-10 21:00:00+00:00,-9285
2008-06-11 21:00:00+00:00,-18104
2008-06-12 21:00:00+00:00,-26236
2008-06-13 21:00:00+00:00,-26238
2008-06-14 21:00:00+00:00,-25889
2008-06-15 21:00:00+00:00,-18096
2008-06-16 21:00:00+00:00,-9634
2008-06-17 21:00:00+00:00,-1186
2008-06-18 21:00:00+00:00,6491
2008-06-19 21:00:00+00:00,-1074
2008-06-20 21:00:00+00:00,-1075
2008-06-21 21:00:00+00:00,-946
2008-06-22 21:00:00+00:00,-6582
2008-06-23 21:00:00+00:00,-15
2008-06-24 21:00:00+00:00,7932
2008-06-25 21:00:00+00:00,-965
2008-06-26 21:00:00+00:00,8097
2008-06-28 21:00:00+00:00,8111
2008-06-29 21:00:00+00:00,16163
2008-06-30 21:00:00+00:00,7313
2008-07-01 21:00:00+00:00,15422
2008-07-02 21:00:00+00:00,8000
2008-07-03 21:00:00+00:00,14332
2008-07-05 21:00:00+00:00,14476
2008-07-06 21:00:00+00:00,2361
2008-07-07 21:00:00+00:00,-7177
2008-07-08 21:00:00+00:00,1054
2008-07-09 21:00:00+00:00,7898
2008-07-10 21:00:00+00:00,15536
2008-07-12 21:00:00+00:00,15710
2008-07-13 21:00:00+00:00,24458
2008-07-14 21:00:00+00:00,34626
2008-07-15 21:00:00+00:00,24499
2008-07-16 21:00:00+00:00,14526
2008-07-17 21:00:00+00:00,6281
2008-07-18 21:00:00+00:00,6280
2008-07-19 21:00:00+00:00,6522
2008-07-20 21:00:00+00:00,-2155
2008-07-21 21:00:00+00:00,-11102
2008-07-22 21:00:00+00:00,-21258
2008-07-23 21:00:00+00:00,-32050
2008-07-24 21:00:00+00:00,-41145
2008-07-26 21:00:00+00:00,-41043
2008-07-27 21:00:00+00:00,-31732
2008-07-28 21:00:00+00:00,-41384
2008-07-29 21:00:00+00:00,-51145
2008-07-30 21:00:00+00:00,-42062
2008-07-31 21:00:00+00:00,-51788
2008-08-02 21:00:00+00:00,-51646
2008-08-03 21:00:00+00:00,-43344
2008-08-04 21:00:00+00:00,-53159
2008-08-05 21:00:00+00:00,-62065
2008-08-06 21:00:00+00:00,-71579
2008-08-07 21:00:00+00:00,-82344
2008-08-09 21:00:00+00:00,-82505
2008-08-10 21:00:00+00:00,-91933
2008-08-11 21:00:00+00:00,-101697
2008-08-12 21:00:00+00:00,-90717
2008-08-13 21:00:00+00:00,-100524
2008-08-14 21:00:00+00:00,-91160
2008-08-16 21:00:00+00:00,-91352
2008-08-17 21:00:00+00:00,-80122
2008-08-18 21:00:00+00:00,-69721
2008-08-19 21:00:00+00:00,-59799
2008-08-20 21:00:00+00:00,-49656
2008-08-21 21:00:00+00:00,-58192
2008-08-23 21:00:00+00:00,-58214
2008-08-24 21:00:00+00:00,-66195
2008-08-25 21:00:00+00:00,-77274
2008-08-26 21:00:00+00:00,-66654
2008-08-27 21:00:00+00:00,-56340
2008-08-28 21:00:00+00:00,-66397
2008-08-30 21:00:00+00:00,-66500
2008-08-31 21:00:00+00:00,-74332
2008-09-01 21:00:00+00:00,-85466
2008-09-02 21:00:00+00:00,-97102
2008-09-03 21:00:00+00:00,-108207
2008-09-04 21:00:00+00:00,-120267
2008-09-06 21:00:00+00:00,-120072
2008-09-07 21:00:00+00:00,-132419
2008-09-08 21:00:00+00:00,-144502
2008-09-09 21:00:00+00:00,-154366
2008-09-10 21:00:00+00:00,-167150
2008-09-11 21:00:00+00:00,-154842
2008-09-13 21:00:00+00:00,-155017
2008-09-14 21:00:00+00:00,-166404
2008-09-15 21:00:00+00:00,-178524
2008-09-16 21:00:00+00:00,-165675
2008-09-17 21:00:00+00:00,-154611
2008-09-18 21:00:00+00:00,-146005
2008-09-20 21:00:00+00:00,-145763
2008-09-21 21:00:00+00:00,-158024
2008-09-22 21:00:00+00:00,-169590
2008-09-23 21:00:00+00:00,-158815
2008-09-24 21:00:00+00:00,-170545
2008-09-25 21:00:00+00:00,-160189
2008-09-27 21:00:00+00:00,-160350
2008-09-28 21:00:00+00:00,-170746
2008-09-29 21:00:00+00:00,-180654
2008-09-30 21:00:00+00:00,-169989
2008-10-01 21:00:00+00:00,-181761
2008-10-02 21:00:00+00:00,-170316
2008-10-04 21:00:00+00:00,-170525
2008-10-05 21:00:00+00:00,-181004
2008-10-06 21:00:00+00:00,-191624
2008-10-07 21:00:00+00:00,-202607
2008-10-08 21:00:00+00:00,-193366
2008-10-09 21:00:00+00:00,-203492
2008-10-11 21:00:00+00:00,-203168
2008-10-12 21:00:00+00:00,-192650
2008-10-13 21:00:00+00:00,-203578
2008-10-14 21:00:00+00:00,-215374
2008-10-15 21:00:00+00:00,-203643
2008-10-16 21:00:00+00:00,-213834
2008-10-18 21:00:00+00:00,-213700
2008-10-19 21:00:00+00:00,-202575
2008-10-20 21:00:00+00:00,-211392
2008-10-21 21:00:00+00:00,-221135
2008-10-22 21:00:00+00:00,-210747
2008-10-23 21:00:00+00:00,-220846
2008-10-25 21:00:00+00:00,-220831
2008-10-26 21:00:00+00:00,-228148
2008-10-27 21:00:00+00:00,-216226
2008-10-28 21:00:00+00:00,-204141
2008-10-29 21:00:00+00:00,-193919
2008-10-30 21:00:00+00:00,-202850
2008-11-01 21:00:00+00:00,-202493
